----------------ATORCH Tester Software----------------
??:001
??:????(CC)
??:ATORCH Tester Software
----------------ATORCH Tester Software----------------
??,??,??,??(V),??(A),??(W),??(Ah),??(KWh),??(?),
2025-02-22_16:50:20,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:21,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:22,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:25,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:26,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:27,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:29,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:31,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:33,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:34,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:35,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:36,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:37,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:38,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:39,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:40,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:41,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:42,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:43,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:44,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:45,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:46,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:47,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:48,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:49,1,0,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-22_16:50:50,1,0,0.00,0.00,0.00,0.00,0.00,0.00
